customer _id,customer_name,customer_surname,address,zipcode,phone,email ,country_id
CMR1,Edward,Wilson,8964 Augue Av,2026,151681551,e.wilson@randatmail.com,AFG
CMR2,Alina,Lloyd,7586 Mi. Street,41418,198555156,a.lloyd@randatmail.com,CYP
CMR3,Derek,Ryan,89634 Augue Av,7555,115511162,d.ryan@randatmail.com,FIN
CMR4,Leonardo,Henderson,9739 Ac Rd,563827,6145951151,l.henderson@randatmail.com,IRL
CMR5,Jared,Williams,7608 Lobortis. Ave,512521,5985111216,j.williams@randatmail.com,LVA
CMR6,Roman,Andrews,7672 Est St,25786,145515112,r.andrews@randatmail.com,LUX
CMR7,Deanna,Martin,846 Euismod St,20512,554511111,d.martin@randatmail.com,NLD
CMR8,Lucia,Carter,7894 Augue Av,2184,14541511,l.carter@randatmail.com,PRT
CMR9,James,Harper,91485 Augue Av,79830,115112121,j.harper@randatmail.com,SVN
CMR10,Nicole,Johnson,4119 Hymenaeos. St,455384,145561252,n.johnson@randatmail.com,ESP
CMR11,Maddie,Nelson,10014 Augue Av,172474,145551115,m.nelson@randatmail.com,BEL
CMR12,Ryan,Hamilton,144 Augue Av,95605,14551212,r.hamilton@randatmail.com,FIN
CMR13,Abraham,Riley,7700 Magnis Street,26448,459111121,a.riley@randatmail.com,DEU
CMR14,Adelaide,Mason,2683323 Nunc St,472469,851423125,a.mason@randatmail.com,IRL
CMR15,Miranda,Moore,675 Placerat. St,6197,89511222,m.moore@randatmail.com,LVA
CMR16,Adam,Montgomery,1044 Augue Av,7588,1468132362,a.montgomery@randatmail.com,LTU
CMR17,Fenton,Foster,4967 Magnis Ave,812437,191114763,f.foster@randatmail.com,LUX
CMR18,Eddy,Payne,8914 Augue Av,41653,28964796,e.payne@randatmail.com,NLD
CMR19,Jenna,Howard,9148 Augue Av,281832,984566354,j.howard@randatmail.com,PRT
CMR20,Lucy,Cameron,2405 Consequat St,6695,95448324,l.cameron@randatmail.com,SVK
CMR21,Robert,Mason,2900 Non St,13773,45525833,r.mason@randatmail.com,USA
CMR22,Alan,Cameron,Ap #100-9144 Augue Av,217934,535454535,a.cameron@randatmail.com,AFG
CMR23,John,Brown,3887 Enim St,51158,343453788,j.brown@randatmail.com,ITA
CMR24,Sienna,Adams,9144 Augue Av,6758,337-4184-25,s.adams@randatmail.com,NLD
CMR25,Roland,Brown,9144 Augue Av,445016,6787337834,r.brown@randatmail.com,ESP
CMR26,Isabella,Kelly,9144 Augue Av,1462,78683825,i.kelly@randatmail.com,USA
CMR27,Penelope,Morrison,4799 Ultricies St,484321,594565666,p.morrison@randatmail.com,DEU
CMR28,Leonardo,Hall,7229 Tristique Ave,181132,87922465,l.hall@randatmail.com,GRC
CMR29,Derek,Bailey,483 Nunc Rd,21522,44515331,d.bailey@randatmail.com,IRL
CMR30,Edith,Roberts,3922 Suspendisse St,27879,986252456,e.roberts@randatmail.com,ITA
CMR31,Victor,Cole,8257 Ante St,24300,15423215,v.cole@randatmail.com,LUX
CMR32,Kirsten,Cunningham,2980 Augue  Rd,25122,494523,k.cunningham@randatmail.com,PRT
CMR33,Edith,Hamilton,9144 Augue Av,751181,95445296,e.hamilton@randatmail.com,SVK
CMR34,Vanessa,Bailey,9883 Lacinia Road,621756,190-3922-84,v.bailey@randatmail.com,ESP
CMR35,Anna,Chapman,777 Gravida Av,1364,975432548,a.chapman@randatmail.com,USA
CMR36,Briony,Grant,053 Nonummy Rd,610275,985123556,b.grant@randatmail.com,GRC
CMR37,Mike,Stevens,569 Ullamcorper Rd,134712,68751236,m.stevens@randatmail.com,FIN
CMR38,Richard,Johnston,7075 Aliquam St,11430,54823314,r.johnston@randatmail.com,FRA
CMR39,Connie,Carter,703 Nullam Av,6938,58745123,c.carter@randatmail.com,DEU
CMR40,Andrew,Chapman,1452 Augue Av,73994,698745236,a.chapman@randatmail.com,LVA
CMR41,Stella,Myers,4292 Sed Av,30817,68945236,s.myers@randatmail.com,LUX
CMR42,Briony,Andrews,548 Nisl  Rd,322646,697456223,b.andrews@randatmail.com,SVK
CMR43,Alfred,Howard,955 Erat. Ave,579456,68945236,a.howard@randatmail.com,SVN
CMR44,Oliver,Hawkins,1408 Mauris Ave,630354,989715236,o.hawkins@randatmail.com,ESP
CMR45,Luke,Martin,138 Aliquam Av,46364,9852364782,l.martin@randatmail.com,USA
CMR46,Patrick,Mason,9144 Augue Av,99B 9H4,6852468,p.mason@randatmail.com,AFG
CMR47,Catherine,Hunt,10044 Augue Av,57759,85648220,c.hunt@randatmail.com,EST
CMR48,Kimberly,Murphy,2237 Integer Av,13766,845266785,k.murphy@randatmail.com,FRA
CMR49,Kelvin,Montgomery,9144 Augue Av,14411,84523648,k.montgomery@randatmail.com,ESP
CMR50,Aida,Hunt,5646 Consectetuer Avenue,384819,84523658,a.hunt@randatmail.com,NLD
